[1732813332.472474161] PING 172.16.2.240 (172.16.2.240) 56(84) bytes of data.
[1732813332.473967499] 64 bytes from 172.16.2.240: icmp_seq=1 ttl=59 time=28.6 ms
[1732813333.612366908] 64 bytes from 172.16.2.240: icmp_seq=2 ttl=59 time=167 ms
[1732813334.608343937] 64 bytes from 172.16.2.240: icmp_seq=3 ttl=59 time=163 ms
[1732813335.626944201] 64 bytes from 172.16.2.240: icmp_seq=4 ttl=59 time=178 ms
[1732813336.660589363] 64 bytes from 172.16.2.240: icmp_seq=5 ttl=59 time=211 ms
[1732813337.657479835] 64 bytes from 172.16.2.240: icmp_seq=6 ttl=59 time=208 ms
[1732813338.646172132] 64 bytes from 172.16.2.240: icmp_seq=7 ttl=59 time=196 ms
[1732813339.677872756] 64 bytes from 172.16.2.240: icmp_seq=8 ttl=59 time=226 ms
[1732813340.628701482] 64 bytes from 172.16.2.240: icmp_seq=9 ttl=59 time=175 ms
[1732813341.694493201] 64 bytes from 172.16.2.240: icmp_seq=10 ttl=59 time=240 ms
[1732813342.619981446] 64 bytes from 172.16.2.240: icmp_seq=11 ttl=59 time=162 ms
[1732813343.628213331] 64 bytes from 172.16.2.240: icmp_seq=12 ttl=59 time=165 ms
[1732813344.668474834] 64 bytes from 172.16.2.240: icmp_seq=13 ttl=59 time=211 ms
[1732813345.646509026] 64 bytes from 172.16.2.240: icmp_seq=14 ttl=59 time=187 ms
[1732813346.669288842] 64 bytes from 172.16.2.240: icmp_seq=15 ttl=59 time=208 ms
[1732813347.658622268] 64 bytes from 172.16.2.240: icmp_seq=16 ttl=59 time=197 ms
[1732813348.514632286] 64 bytes from 172.16.2.240: icmp_seq=17 ttl=59 time=52.0 ms
[1732813349.606391698] 64 bytes from 172.16.2.240: icmp_seq=18 ttl=59 time=143 ms
[1732813350.650501167] 64 bytes from 172.16.2.240: icmp_seq=19 ttl=59 time=185 ms
[1732813351.638356586] 64 bytes from 172.16.2.240: icmp_seq=20 ttl=59 time=173 ms
[1732813352.613110269] 64 bytes from 172.16.2.240: icmp_seq=21 ttl=59 time=147 ms
[1732813353.634302720] 64 bytes from 172.16.2.240: icmp_seq=22 ttl=59 time=167 ms
[1732813354.638403982] 64 bytes from 172.16.2.240: icmp_seq=23 ttl=59 time=169 ms
[1732813355.608760902] 64 bytes from 172.16.2.240: icmp_seq=24 ttl=59 time=137 ms
[1732813356.648616787] 64 bytes from 172.16.2.240: icmp_seq=25 ttl=59 time=177 ms
[1732813357.578487208] 64 bytes from 172.16.2.240: icmp_seq=26 ttl=59 time=105 ms
[1732813358.609484543] 64 bytes from 172.16.2.240: icmp_seq=27 ttl=59 time=135 ms
[1732813359.643160742] 64 bytes from 172.16.2.240: icmp_seq=28 ttl=59 time=165 ms
[1732813360.624853665] 64 bytes from 172.16.2.240: icmp_seq=29 ttl=59 time=149 ms
[1732813361.638954058] 64 bytes from 172.16.2.240: icmp_seq=30 ttl=59 time=161 ms
[1732813362.609201541] 64 bytes from 172.16.2.240: icmp_seq=31 ttl=59 time=131 ms
[1732813363.604696899] 64 bytes from 172.16.2.240: icmp_seq=32 ttl=59 time=125 ms
[1732813364.649335876] 64 bytes from 172.16.2.240: icmp_seq=33 ttl=59 time=169 ms
[1732813365.628480081] 64 bytes from 172.16.2.240: icmp_seq=34 ttl=59 time=146 ms
[1732813366.669859179] 64 bytes from 172.16.2.240: icmp_seq=35 ttl=59 time=188 ms
[1732813367.676499690] 64 bytes from 172.16.2.240: icmp_seq=36 ttl=59 time=191 ms
[1732813368.658905657] 64 bytes from 172.16.2.240: icmp_seq=37 ttl=59 time=171 ms
[1732813369.640419532] 64 bytes from 172.16.2.240: icmp_seq=38 ttl=59 time=152 ms
[1732813370.678609554] 64 bytes from 172.16.2.240: icmp_seq=39 ttl=59 time=190 ms
